DBGDIDR : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0000{, {#}000}
DBGDTRRXext : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0000{, {#}010}
DBGDTRRXext : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0000{, {#}010}
DBGDSCRint : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0001{, {#}000}
DBGDCCINT : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0010{, {#}000}
DBGDCCINT : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0010{, {#}000}
DBGDSCRext : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0010{, {#}010}
DBGDSCRext : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0010{, {#}010}
DBGDTRTXext : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0011{, {#}010}
DBGDTRTXext : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0011{, {#}010}
DBGDTRRXint : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0101{, {#}000}
DBGDTRRXint : STC{<c>}{<q>} 1110, 0101, <addressing_mode>
DBGDTRTXint : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0101{, {#}000}
DBGDTRTXint : LDC{<c>}{<q>} 1110, <CRd>, <addressing_mode>
DBGWFAR : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0110{, {#}000}
DBGWFAR : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0110{, {#}000}
DBGOSECCR : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0110{, {#}010}
DBGOSECCR : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0110{, {#}010}
DBGVCR : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0111{, {#}000}
DBGVCR : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0111{, {#}000}
DBGBVR0 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0000{, {#}100}
DBGBVR1 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0001{, {#}100}
DBGBVR2 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0010{, {#}100}
DBGBVR3 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0011{, {#}100}
DBGBVR4 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0100{, {#}100}
DBGBVR5 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0101{, {#}100}
DBGBVR6 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0110{, {#}100}
DBGBVR7 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0111{, {#}100}
DBGBVR8 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1000{, {#}100}
DBGBVR9 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1001{, {#}100}
DBGBVR10 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1010{, {#}100}
DBGBVR11 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1011{, {#}100}
DBGBVR12 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1100{, {#}100}
DBGBVR13 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1101{, {#}100}
DBGBVR14 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1110{, {#}100}
DBGBVR15 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1111{, {#}100}
DBGBVR0 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0000{, {#}100}
DBGBVR1 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0001{, {#}100}
DBGBVR2 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0010{, {#}100}
DBGBVR3 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0011{, {#}100}
DBGBVR4 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0100{, {#}100}
DBGBVR5 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0101{, {#}100}
DBGBVR6 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0110{, {#}100}
DBGBVR7 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0111{, {#}100}
DBGBVR8 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1000{, {#}100}
DBGBVR9 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1001{, {#}100}
DBGBVR10 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1010{, {#}100}
DBGBVR11 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1011{, {#}100}
DBGBVR12 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1100{, {#}100}
DBGBVR13 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1101{, {#}100}
DBGBVR14 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1110{, {#}100}
DBGBVR15 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1111{, {#}100}
DBGBCR0 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0000{, {#}101}
DBGBCR1 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0001{, {#}101}
DBGBCR2 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0010{, {#}101}
DBGBCR3 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0011{, {#}101}
DBGBCR4 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0100{, {#}101}
DBGBCR5 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0101{, {#}101}
DBGBCR6 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0110{, {#}101}
DBGBCR7 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0111{, {#}101}
DBGBCR8 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1000{, {#}101}
DBGBCR9 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1001{, {#}101}
DBGBCR10 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1010{, {#}101}
DBGBCR11 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1011{, {#}101}
DBGBCR12 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1100{, {#}101}
DBGBCR13 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1101{, {#}101}
DBGBCR14 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1110{, {#}101}
DBGBCR15 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1111{, {#}101}
DBGBCR0 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0000{, {#}101}
DBGBCR1 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0001{, {#}101}
DBGBCR2 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0010{, {#}101}
DBGBCR3 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0011{, {#}101}
DBGBCR4 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0100{, {#}101}
DBGBCR5 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0101{, {#}101}
DBGBCR6 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0110{, {#}101}
DBGBCR7 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0111{, {#}101}
DBGBCR8 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1000{, {#}101}
DBGBCR9 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1001{, {#}101}
DBGBCR10 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1010{, {#}101}
DBGBCR11 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1011{, {#}101}
DBGBCR12 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1100{, {#}101}
